id_zdroje,ucetni_rok,mesic,castka_haleru,kategorie,popis_verejny,baze
39d2c67448b3,2022,1,53716,Telekomunikace / IT,pošta-internet,accrual_cost
3ca953ae6f59,2022,1,14520,Voda/kanalizace (provoz),revize plynové přípojky,accrual_cost
82e3eb44de9d,2022,2,53716,Telekomunikace / IT,pošta-internet,accrual_cost
cd89f923e9e0,2022,3,53716,Telekomunikace / IT,pošta-internet,accrual_cost
f61349b2eb9c,2022,3,18709600,Voda/kanalizace (provoz),"voda,kanalizace-tech dozor 2/2022",accrual_cost
601d6089f6c3,2022,4,53716,Telekomunikace / IT,pošta-internet,accrual_cost
345166a487a4,2022,4,9559000,Zámek (budova),zámek-pronájem stavebního jeřábu,accrual_cost
d40abf19481e,2022,4,1960200,Právní služby,čin.míst.spr.-právní služby,accrual_cost
293c8fc7b0e4,2022,5,53716,Telekomunikace / IT,pošta-internet,accrual_cost
bb3418ba5fa7,2022,6,53716,Telekomunikace / IT,pošta-internet,accrual_cost
227ae13f5506,2022,6,-200000,Geometr./znalecké/KN,ověřování a poplatek za vklad do KN,accrual_cost
00861b943097,2022,7,53716,Telekomunikace / IT,pošta-internet,accrual_cost
5c519d3f6b5b,2022,7,660000,Voda/kanalizace (provoz),"voda,kanalizace-technologický dozor",accrual_cost
b871b7d20e55,2022,8,53716,Telekomunikace / IT,pošta-internet,accrual_cost
9a7aa704eaf8,2022,8,30000,Ostatní,SDH-zdravotní prohlídka,accrual_cost
d002c8d041bb,2022,9,27000,Ostatní,rozhlasový poplatek,accrual_cost
3dfb31d83578,2022,9,53716,Telekomunikace / IT,pošta-internet,accrual_cost
11142bf2bb49,2022,9,871200,Ostatní,čin.míst.spr.-mapový portál,accrual_cost
6201776e3834,2022,10,53716,Telekomunikace / IT,pošta-internet,accrual_cost
a91a591a054e,2022,11,53716,Telekomunikace / IT,pošta-internet,accrual_cost
9238de929d13,2022,12,53716,Telekomunikace / IT,pošta-internet,accrual_cost
eed67b979de0,2022,12,-18709600,Opravy/storna dokladů,Oprava dokladu,accrual_cost
eed67b979de0,2022,12,910000,Opravy/storna dokladů,Oprava dokladu,accrual_cost
90f0c63f6ec9,2022,6,200000,Geometr./znalecké/KN,poplatek za vklad do KN,accrual_cost
dd862b22b035,2022,6,157300,Zámek (budova),zámek-nájem plošiny na opravu rýn,accrual_cost
7bda31253dd0,2022,9,172788,Ostatní,čin.míst.spr.-hosting k doméně,accrual_cost
1fe6e74fbbbf,2022,11,100000,Správa / odborné služby,čin.míst.spr.-služby BOZP,accrual_cost
489ec4b596a3,2022,11,760000,Voda/kanalizace (provoz),"voda,kanalizace-technický dozor",accrual_cost
3bc8c8e3c13d,2022,12,159430,Ostatní,čin.míst.spr.-materiál,accrual_cost
995ccb5c270c,2022,5,675000,Voda/kanalizace (provoz),kanalizace-deratizace,accrual_cost
832b8dc08267,2022,5,5136000,Zámek (budova),zámek-schodiště a madla v prostorách bývalé MŠ,accrual_cost
fac31d1b71b8,2022,5,254100,Veřejná zeleň,veř.zeleň-dovoz písku,accrual_cost
d64f9395941a,2022,6,5700,Ostatní,čin.míst.spr.-materiál,accrual_cost
b33356210af9,2022,10,466095,Odpady (svoz),svoz odpadů,accrual_cost
daeb6bb17045,2022,3,15600,Telekomunikace / IT,pohřebnictví-telefon,accrual_cost
7225738bcf46,2022,5,260000,Ostatní,čin.míst.spr.-Obec účtuje-dotazy,accrual_cost
2cf4796f391e,2022,6,18200,Telekomunikace / IT,pohřebnictví-vyúčtování telefon,accrual_cost
77b75d8c40d6,2022,9,15100,Telekomunikace / IT,pohřebnictví-telefon,accrual_cost
14dca74e5596,2022,10,560000,Voda/kanalizace (provoz),"voda, kanalizace-tech.dozor",accrual_cost
f4532db334cd,2022,11,23800,Telekomunikace / IT,pohřebnictví-vyúčtování telefon,accrual_cost
c65575426161,2022,4,1110000,Voda/kanalizace (provoz),"voda,kanalizace-tech.dozor 4/2022",accrual_cost
4a57c0479254,2022,9,3600,Poštovné,VaK-poštovné,accrual_cost
45561667bd38,2022,12,11000,Bankovní poplatky,bankovní poplatky,accrual_cost
f428b2d09d1f,2022,1,2820000,Voda/kanalizace (provoz),"voda,kanalizace-tech.pomoc",accrual_cost
2e1767caef90,2022,1,300000,ČOV / odpadní vody,veř.zeleň-zpracování dokumentace,accrual_cost
ab408e288fb2,2022,1,1000000,Veřejná zeleň,veř.zeleň-odborný dohled výsadeb,accrual_cost
a12a8663b1b2,2022,1,47200,Správa / odborné služby,čin.míst.spr.-tech.pomoc,accrual_cost
b6fedaa6fafe,2022,1,120100,Poštovné,čin.míst.spr.-poštovné,accrual_cost
ec0de6f96566,2022,4,610000,Voda/kanalizace (provoz),"voda,kanalizace-tech dozor za 3/2022",accrual_cost
af2d3417ba8a,2022,6,59000,Poštovné,čin.míst.spr.-poštovné,accrual_cost
c43c544cf3ab,2022,6,539500,Ostatní,vodovodní navrtací pas (přípojka),accrual_cost
f110f02d1a3f,2022,12,3960000,Právní služby,čin.míst.spr.-právní služby,accrual_cost
86496ddf08b8,2022,1,318400,Voda/kanalizace (provoz),voda-oprava vodoměrů výměnným způsobem,accrual_cost
b1615ce36084,2022,1,20000,Ostatní,SDH - teleskopické štafle,accrual_cost
b92e68faf77d,2022,1,190000,Správa / odborné služby,čin.míst.spr.-školení účetnictví,accrual_cost
4fb7ba7762de,2022,1,496100,Ostatní,čin.míst.spr.-evidence pozemků,accrual_cost
b508e26ccd38,2022,2,6231500,Zámek (budova),zámek-výměna plynových kotlů po zásahu bleskem,accrual_cost
a404d95fa4df,2022,2,860000,Voda/kanalizace (provoz),"voda, kanalizace-technický dozor",accrual_cost
eac5990013c5,2022,3,4000,Poštovné,čin.míst.spr.-poštovné,accrual_cost
775e7081081c,2022,4,7200,Poštovné,čin.míst.spr.-poštovné,accrual_cost
9c56da21dcc1,2022,9,126300,Odpady (svoz),odvoz odpadu na skládku,accrual_cost
e70cbf0aa022,2022,9,96000,Ostatní,převoz palivového dřeva,accrual_cost
136d72b20885,2022,12,1091371,Odpady (svoz),svoz odpadů,accrual_cost
c3da72f7a4cc,2022,12,8500,Poštovné,volba prezidenta - poštovné,accrual_cost
3ad3d0674a65,2022,12,2400,Poštovné,kancelář VaK-poštovné,accrual_cost
652229af2ba8,2022,12,-255240,Opravy/storna dokladů,Oprava dokladu,accrual_cost
652229af2ba8,2022,12,255310,Opravy/storna dokladů,Oprava dokladu,accrual_cost
d0a49bca7010,2022,12,3388000,Zámek (budova),zámek-nájem jeřábu,accrual_cost
71d32eac8eb5,2022,11,-10000,Odpady (svoz),poplatek za komunální odpad a poštovné,accrual_cost
8084d26a6975,2022,11,6000,Poštovné,správa VaK-poštovné,accrual_cost
687929bea10a,2022,11,17900,Ostatní,čin.míst.spr.-závěsný odznak s trikolorou,accrual_cost
63cf19cf563e,2022,11,622200,Voda/kanalizace (provoz),vodovodní navrtací pas (přípojka),accrual_cost
7e40c04fe3de,2022,6,1033307,Voda/kanalizace (provoz),voda-kalkulační výkaz,accrual_cost
4c15b2551bac,2022,6,884300,Ostatní,čin.míst.spr.-technická pomoc,accrual_cost
f2d24334a298,2022,8,303700,Ostatní,čin.míst.spr.-microsoft 365 Apps,accrual_cost
07a34ee732d0,2022,10,27000,Ostatní,rozhlasový poplatek,accrual_cost
bd1a83f3b520,2022,10,134880,Ostatní,čin.míst.spr.-certifikáty,accrual_cost
b29132ee8daa,2022,11,350900,Telekomunikace / IT,čin.míst.spr.-datový trezor,accrual_cost
86ccc56ce9bd,2022,11,82800,Voda/kanalizace (provoz),vodovodní navrtací pas (přípojka),accrual_cost
48fabd88b0fe,2022,12,4376570,Odpady (svoz),bioodpad,accrual_cost
3102ab6f2043,2022,1,435600,Ostatní,čin.míst.spr.-úřední deska,accrual_cost
44aeef2a442a,2022,3,126300,Zámek (budova),zámek-odvoz suti,accrual_cost
1726bb717519,2022,4,27000,Ostatní,rozhlasový poplatek,accrual_cost
1726bb717519,2022,4,25700,Veřejná zeleň,veř.zeleň-povinné ručení VARES,accrual_cost
0f09d1ba6a14,2022,8,960000,Voda/kanalizace (provoz),"voda,kanalizace-techn. dozor",accrual_cost
34e2517c5964,2022,10,406343,Odpady (svoz),svoz odpadů,accrual_cost
7a5e5521164c,2022,11,474375,Odpady (svoz),svoz odpadů,accrual_cost
dc86a8ea4465,2022,1,15170,Ostatní,"SDH-bourací sekera, tyč pro řízení provozu, vyprošťovací nástroj",accrual_cost
1e23ceb92fc2,2022,5,1800,Poštovné,čin.míst.spr.-poštovné,accrual_cost
02409fa1df24,2022,5,423500,Veřejná zeleň,veř.zeleň-odvoz hlíny,accrual_cost
0c796c8c6df4,2022,7,526930,Odpady (svoz),svoz odpadů,accrual_cost
83e840e861c7,2022,8,506575,Odpady (svoz),svoz odpadů,accrual_cost
d49b00839f4d,2022,9,853600,Ostatní,čin.míst.spr.-povinné ručení ford,accrual_cost
ababe6a5f140,2022,12,2377000,Zámek (budova),"pojištění-zámek,ZŠ,MŠ,kaple,obecní dům,kancelář OÚ,odpovědnost",accrual_cost
dbf9a8dd341d,2022,1,4000,Poštovné,čin.míst.spr.-poštovné,accrual_cost
d18b3bcd09bf,2022,4,460000,Zámek (budova),zámek-revize komínů,accrual_cost
8f0ebf1cd862,2022,4,506300,Ostatní,vodovodní navrtací pas (přípojka),accrual_cost
4bd7b3db48f2,2022,5,2023100,Ostatní,čin.míst.spr-udržovací poplatek,accrual_cost
eb1bdcb125cc,2022,5,1107060,Odpady (svoz),svoz odpadů,accrual_cost
43f2199ff7ff,2022,7,-672500,Geometr./znalecké/KN,"úhrada znaleckého posudku,geometrického plánu, vkladu do KN a ověřování",accrual_cost
cabdb7f06602,2022,7,-450000,Geometr./znalecké/KN,"úhrada znaleckého posudku, vklad do KN a legalizace",accrual_cost
b5b22fd6b20d,2022,7,-672500,Geometr./znalecké/KN,"úhrada znaleckého posudku, geometrického plánu, dkladu do KN a legalizace",accrual_cost
4013fadc802f,2022,9,110000,Správa / odborné služby,čin.míst.správy-školení-volby-EO,accrual_cost
01e0cc8cb1e3,2022,9,2976358,Ostatní,hřbitov-obnova trávníku,accrual_cost
eb23893c97f3,2022,9,30000,Veřejná zeleň,veř.zeleň-přezutí pneumatik Tera,accrual_cost
6dd3e90664da,2022,12,109900,Telekomunikace / IT,starosta-zoner licence,accrual_cost
