kod_obce_csu,obec,ico,obyvatel_2025,polozka_5166_2022_kc,polozka_5166_2023_kc,polozka_5166_2024_kc,polozka_5166_2025_kc,celkem_2022_2025_kc,na_obyvatele_kc,vydaje_celkem_2022_2025_kc,podil_na_vydajich_pct,skupina_700_1500
583251,Kuřim,00281964,11860,2505850,2422432,3258207,2356921,10543410,889,2058341519,0.51,ne
584002,Tišnov,00282707,9225,1397597,1933833,1562515,4722586,9616531,1042,1489881491,0.65,ne
583952,Šlapanice,00282651,7915,1101573,2092599,1788437,3252504,8235113,1040,1458380950,0.56,ne
582824,Bílovice nad Svitavou,00281581,3725,1113945,1560311,1012252,2635241,6321749,1697,460055731,1.37,ne
584282,Židlochovice,00282979,3676,941508,574786,819188,1188424,3523906,959,903653663,0.39,ne
583286,Lelekovice,00281999,2016,703240,403382,727605,1461452,3295679,1635,243409209,1.35,ne
583707,Prštice,00282405,997,332943,473514,667497,923508,2397462,2405,92921513,2.58,ano
584100,Veverská Bítýška,00282804,3512,301210,589797,1045326,444793,2381126,678,306848238,0.78,ne
582841,Blažovice,00281603,1248,781655,865992,436214,269536,2353397,1886,108569113,2.17,ano
584266,Želešice,00282952,1959,217703,471153,1238564,243244,2170664,1108,238691473,0.91,ne
583910,Střelice,00282618,3283,225852,738172,748095,353417,2065536,629,384800345,0.54,ne
584134,Vohančice,00366013,193,382512,343094,449620,828306,2003532,10381,239741424,0.84,ne
585033,Vranovice,00283720,2446,518691,506102,420429,417671,1862893,762,261015157,0.71,ne
584029,Troubsko,00282723,2397,230819,190741,1089796,325765,1837121,766,264402634,0.69,ne
584762,Pasohlávky,00283461,773,457174,439794,472016,456218,1825202,2361,459935942,0.4,ano
583383,Měnín,00282090,1897,714770,376456,302793,316375,1710394,902,205678955,0.83,ne
583898,Sokolnice,00282596,2490,224544,532314,222607,705329,1684794,677,349893416,0.48,ne
583502,Nová Ves,00637530,843,325632,275030,493097,577272,1671031,1982,93349935,1.79,ano
582794,Babice nad Svitavou,00281557,1462,287250,214480,341963,813136,1656829,1133,140455713,1.18,ano
582263,Rohozec,00280861,232,327500,407021,419875,447700,1602096,6906,113592029,1.41,ne
583235,Kratochvilka,00488186,506,357836,399049,399906,420756,1577547,3118,39460827,4.0,ne
583031,Holasice,00488143,1402,269539,514159,203683,449946,1437327,1025,129764614,1.11,ano
583553,Opatovice,00488241,1172,308945,353246,469579,296035,1427805,1218,185255303,0.77,ano
584037,Tvarožná,00282731,1370,619231,164508,251084,344081,1378904,1006,137579011,1.0,ano
594962,Troskotovice,00637637,749,665792,200490,243748,167229,1277259,1705,107413012,1.19,ano
581976,Lomnice,00280577,1483,186098,432448,439473,206660,1264679,853,211750731,0.6,ano
581429,Březina,00280020,1144,620233,199719,283231,126541,1229724,1075,94915148,1.3,ano
582956,Dolní Kounice,00281701,2571,319925,487088,193241,155815,1156069,450,298605265,0.39,ne
584231,Žabčice,00282936,1664,0,274366,426691,452486,1153543,693,321380537,0.36,ne
583413,Moravany,00282120,3554,562489,310294,164443,105802,1143028,322,388960219,0.29,ne
582999,Hajany,00637688,713,243188,208188,216167,453357,1120900,1572,69474036,1.61,ano
583995,Těšany,00282693,1299,401033,273684,196309,239511,1110537,855,131414644,0.85,ano
584061,Unkovice,00488356,713,0,0,729630,294030,1023660,1436,74799947,1.37,ano
549746,Předklášteří,00365416,1469,59900,150856,245260,467438,923454,629,236010828,0.39,ano
583481,Neslovice,00282197,999,192260,146398,286266,290189,915113,916,114137287,0.8,ano
584045,Újezd u Brna,00282740,3375,274563,388338,166919,64386,894206,265,521445783,0.17,ne
582913,Čebín,00281662,1978,297034,178610,191603,226827,894074,452,278984599,0.32,ne
583081,Hrušovany u Brna,00281824,3518,76084,182713,283409,324228,866434,246,289695168,0.3,ne
583405,Mokrá-Horákov,00282111,2908,171262,253472,245780,171801,842315,290,342275575,0.25,ne
584126,Viničné Šumice,00488372,1372,26892,164169,115500,486340,792901,578,177975021,0.45,ano
585025,Vlasatice,00283711,952,114000,114000,125550,438450,792000,832,129740949,0.61,ano
583588,Oslavany,00282286,4873,260568,164327,194473,150253,769621,158,493372857,0.16,ne
583189,Jiříkovice,00362981,982,125413,219587,78000,328503,751503,765,94791481,0.79,ano
583685,Prace,00599247,998,14802,34414,22534,604369,676119,677,94391030,0.72,ano
583839,Říčany,00282537,2143,143846,27104,273887,230714,675551,315,297054774,0.23,ne
583821,Řícmanice,00374903,828,304746,149418,73794,103380,631338,762,77298004,0.82,ano
583936,Syrovice,00282634,2097,111925,0,513040,0,624965,298,249412419,0.25,ne
584720,Nosislav,00283428,1379,88309,120927,136375,273455,619066,449,147580710,0.42,ano
583201,Ketkovice,00375322,638,25953,265726,132760,177573,602012,944,56848839,1.06,ne
584223,Zbýšov,00282928,3671,38010,39933,244012,263553,585508,159,417049658,0.14,ne
583782,Rosice,00282481,6784,71849,132937,112414,259587,576787,85,1151123695,0.05,ne
583600,Ostrovačice,00377155,829,74420,126411,282309,69080,552220,666,123630807,0.45,ano
583561,Ořechov,00282278,2915,355890,34260,28200,130840,549190,188,331706841,0.17,ne
583791,Rozdrojovice,00282499,1078,71540,152962,119640,202420,546562,507,92035450,0.59,ano
582948,Deblín,00281697,1132,95106,136972,157943,156324,546345,483,139161804,0.39,ano
584215,Zbraslav,00282910,1285,99819,57832,190077,186145,533873,415,218357800,0.24,ano
594377,Loděnice,00293083,616,0,0,0,513645,513645,834,75051589,0.68,ne
583677,Pozořice,00282375,2413,22191,15498,186292,260342,484323,201,286049510,0.17,ne
583090,Hvozdec,00362948,354,150446,115078,108900,108900,483324,1365,33730059,1.43,ne
583065,Hradčany,00362875,676,27579,171868,155191,111476,466114,690,71573661,0.65,ne
584801,Pohořelice,00283509,6126,129471,182153,63710,82914,458248,75,1349480722,0.03,ne
582883,Bratčice,00488127,693,94028,90655,56300,204432,445415,643,105541816,0.42,ne
584207,Zastávka,00488399,2495,0,0,428157,10890,439047,176,323901657,0.14,ne
583723,Přibyslavice,00637548,563,207364,127050,0,87120,421534,749,86107029,0.49,ne
583111,Chudčice,00362956,1008,90750,109551,109082,108900,418283,415,97634393,0.43,ano
582859,Blučina,00281611,2277,88863,89824,111120,113486,403293,177,265652266,0.15,ne
583693,Pravlov,00488071,697,0,0,400510,0,400510,575,53982223,0.74,ne
583294,Lesní Hluboké,00637190,278,26015,19943,232424,121534,399916,1439,49919216,0.8,ne
583456,Nebovidy,00488097,871,30266,71976,23669,272973,398884,458,84199450,0.47,ano
583987,Tetčice,44947917,1124,84650,88038,92444,105704,370836,330,96553676,0.38,ano
583634,Podolí,00282332,1418,53344,78080,140337,97708,369469,261,138077660,0.27,ano
583171,Jinačovice,00281883,805,102089,69778,79903,110634,362404,450,71114057,0.51,ano
583774,Rebešovice,00488089,1092,59910,72279,65950,156722,354861,325,92589488,0.38,ano
591661,Senorady,00378593,389,64906,35356,36986,203772,341020,877,54426411,0.63,ne
596892,Tišnovská Nová Ves,00599883,102,93945,81809,78261,75479,329494,3230,14760948,2.23,ne
583758,Rajhrad,00282456,4136,72959,44491,61937,130315,309702,75,452931869,0.07,ne
583596,Ostopovice,00282294,1751,88696,71407,84724,52276,297103,170,286437124,0.1,ne
583430,Moravské Knínice,00488216,1153,19888,129042,101156,45393,295479,256,130582421,0.23,ano
583545,Omice,00488232,829,72600,72600,72600,72600,290400,350,53512410,0.54,ano
583863,Sivice,00488313,1101,70885,66550,78952,72600,288987,262,127940233,0.23,ano
583324,Lukovany,00282031,677,44601,35338,81186,126740,287865,425,50549444,0.57,ne
